vertex_index,parcel_id,parcel_name
0,lh_6d,lh_6d
1,lh_vip,lh_VIP
2,lh_24dv,lh_24dv
3,lh_9_46d,lh_9-46d
4,lh_43,lh_43
5,lh_pfm,lh_PFm
6,lh_v4,lh_V4
7,lh_pros,lh_ProS
8,lh_?,lh_?
9,lh_avi,lh_AVI
10,lh_stsdp,lh_STSdp
11,lh_tf,lh_TF
12,lh_4,lh_4
13,lh_p9_46v,lh_p9-46v
14,lh_i6_8,lh_i6-8
15,lh_1,lh_1
16,lh_pfop,lh_PFop
17,lh_1,lh_1
18,lh_lipd,lh_LIPd
19,lh_6mp,lh_6mp
20,lh_5mv,lh_5mv
21,lh_8bm,lh_8BM
22,lh_p32,lh_p32
23,lh_?,lh_?
24,lh_a47r,lh_a47r
25,lh_ofc,lh_OFC
26,lh_fop4,lh_FOP4
27,lh_ri,lh_RI
28,lh_ta2,lh_TA2
29,lh_stv,lh_STV
30,lh_pgi,lh_PGi
31,lh_pht,lh_PHT
32,lh_v3b,lh_V3B
33,lh_pos2,lh_POS2
34,lh_v1,lh_V1
35,lh_rsc,lh_RSC
36,lh_?,lh_?
37,lh_tgd,lh_TGd
38,lh_?,lh_?
39,lh_te2a,lh_TE2a
40,lh_ffc,lh_FFC
41,lh_vmv1,lh_VMV1
42,lh_4,lh_4
43,lh_55b,lh_55b
44,lh_fef,lh_FEF
45,lh_3b,lh_3b
46,lh_3b,lh_3b
47,lh_3a,lh_3a
48,lh_1,lh_1
49,lh_6mp,lh_6mp
50,lh_4,lh_4
51,lh_6a,lh_6a
52,lh_10d,lh_10d
53,lh_9m,lh_9m
54,lh_9p,lh_9p
55,lh_9_46d,lh_9-46d
56,lh_p10p,lh_p10p
57,lh_46,lh_46
58,lh_ifsa,lh_IFSa
59,lh_op2_3,lh_OP2-3
60,lh_ig,lh_Ig
61,lh_fop4,lh_FOP4
62,lh_op4,lh_OP4
63,lh_pfcm,lh_PFcm
64,lh_pfm,lh_PFm
65,lh_pgi,lh_PGi
66,lh_pfm,lh_PFm
67,lh_ip2,lh_IP2
68,lh_pfm,lh_PFm
